building_id,raw_noise_day_dba,raw_noise_night_dba,raw_daylight_klx,raw_view_sky_sr,raw_view_greenery_sr,raw_poi_count,noise_lden,noise_lnight,daylight,view_sky,view_greenery,location_poi,dwelling_id,fli_score,linguistic_label,num_activated_rules
2830,58.4130234355478,51.72262476340221,0.2160118537229436,0.0038572360207072,0.0001416909570189,1631.0,58.4130234355478,51.72262476340221,0.2160118537229436,0.0038572360207072,0.0001416909570189,3.2127201544178425,1907,21.213127050361987,poor,3
2831,43.7121804888482,36.7394214411525,0.3450136709679806,0.0061169145173367,1.3718696832438295e-05,1733.0,43.7121804888482,36.7394214411525,0.3450136709679806,0.0061169145173367,1.3718696832438295e-05,3.2390490931401916,1908,22.352137330754594,poor,3
2832,64.93830668816106,51.12819192361096,2.1842877654430795,0.0362128495838545,0.0059478153010493,633.0,64.93830668816106,51.12819192361096,2.1842877654430795,0.0362128495838545,0.0059478153010493,2.802089257881733,1909,40.00000000000001,fair,3
2833,58.8105167090699,44.7815017495771,0.2668535827408637,0.0019466242751226,0.0111024437754883,1226.0,58.8105167090699,44.7815017495771,0.2668535827408637,0.0019466242751226,0.0111024437754883,3.088844562727004,1910,25.4587488971275,fair,2
2834,77.5564628605966,71.2443950463567,0.1918942787295293,0.0053734025211867,0.0032592117749377,695.0,77.5564628605966,71.2443950463567,0.1918942787295293,0.0053734025211867,0.0032592117749377,2.842609239610562,1911,18.13697119794829,poor,7
2835,65.661069056897,47.1476020479991,0.931033842959725,0.0180232231829932,0.0006526874134816,547.0,65.661069056897,47.1476020479991,0.931033842959725,0.0180232231829932,0.0006526874134816,2.738780558484369,1912,23.693573067999147,poor,6
2836,57.464574305783586,44.7229986989094,0.6938721014700125,0.0133301529821801,0.0002582463977802,1200.0,57.464574305783586,44.7229986989094,0.6938721014700125,0.0133301529821801,0.0002582463977802,3.079543007402906,1913,25.2660599559354,fair,3
2837,61.21382481901606,49.10351326103006,1.1241842147507697,0.02719351735428,0.0013518913482056,732.0,61.21382481901606,49.10351326103006,1.1241842147507697,0.02719351735428,0.0013518913482056,2.865103974641128,1914,36.50188884292687,fair,6
2838,76.3897931438676,68.9726233478209,0.5973393738780958,0.009427464539009,0.0042063039089889,620.0,76.3897931438676,68.9726233478209,0.5973393738780958,0.009427464539009,0.0042063039089889,2.79309160017658,1915,16.664290587997247,poor,7
2840,53.2600765365606,43.0487090745344,0.2011901393723491,0.0042079154671244,0.0034601786524746,1741.0,53.2600765365606,43.0487090745344,0.2011901393723491,0.0042079154671244,0.0034601786524746,3.241048150671644,1916,20.755439998010495,poor,3
2841,61.0287258861222,51.7255997151008,1.0133122970150532,0.0204017081263332,0.0002685907185144,917.0,61.0287258861222,51.7255997151008,1.0133122970150532,0.0204017081263332,0.0002685907185144,2.9628426812012423,1917,31.80405257937764,fair,6
